sheet,company,calendar_quarter,type,kpi,value,yoy,yoy_vs_last_q,yoy_vs_last_y,qoq
AMPL,AMPL US EQUITY,2025-03-31,canonical,revenue,79.953,0.100917052214144,66.9131940179746,84.4898055026055,0.0233198090386659
AMPL,AMPL US EQUITY,2025-06-30,canonical,revenue,83.27,0.136016371077763,350.993188636184,543.689615716609,0.0414868735382037
AMPL,AMPL US EQUITY,2025-09-30,canonical,revenue,88.564,0.177446587872422,414.302167946596,1126.08047164295,0.0635763180016813
AMPL,AMPL US EQUITY,2025-12-31,canonical,revenue,91.427,0.170175730503897,-72.7085736852495,759.499976915505,0.0323269048371801
AMPL,AMPL US EQUITY,2025-03-31,canonical,gross_margin_gaap,74.7302,73.9499999999992,,,7.9899999999995
AMPL,AMPL US EQUITY,2025-06-30,canonical,gross_margin_gaap,72.6048,-81.2700000000007,,,-212.54
AMPL,AMPL US EQUITY,2025-09-30,canonical,gross_margin_gaap,73.9465,-113.36,,,134.17
AMPL,AMPL US EQUITY,2025-12-31,canonical,gross_margin_gaap,74.6289,-2.13999999999999,,,68.2400000000001
AMPL,AMPL US EQUITY,2025-03-31,canonical,operating_margin_gaap,-30.2653,375.24,,,1517.76
AMPL,AMPL US EQUITY,2025-06-30,canonical,operating_margin_gaap,-32.5375,451.57,,,-227.22
AMPL,AMPL US EQUITY,2025-09-30,canonical,operating_margin_gaap,-28.9621,-235.51,,,357.54
AMPL,AMPL US EQUITY,2025-12-31,canonical,operating_margin_gaap,-20.8494,2459.35,,,811.27
AMPL,AMPL US EQUITY,2025-03-31,custom,arr_in_k,320000,0.12280701754386,124.867328463507,350.207580018749,0.0256410256410255
AMPL,AMPL US EQUITY,2025-06-30,custom,arr_in_k,335000,0.155172413793103,323.653962492438,730.828615542976,0.046875
AMPL,AMPL US EQUITY,2025-09-30,custom,arr_in_k,347000,0.164429530201342,92.571164082389,728.544386262509,0.035820895522388
AMPL,AMPL US EQUITY,2025-12-31,custom,arr_in_k,366000,0.173076923076923,86.4739287558081,627.566383794143,0.0547550432276658
AMPL,AMPL US EQUITY,2025-03-31,custom,crpo_in_k,233801,0.186283215026866,12.8512528708624,1571.08280301018,0.0469326526956833
AMPL,AMPL US EQUITY,2025-06-30,custom,crpo_in_k,249520,0.20438660848747,181.033934606034,1242.19768028659,0.0672323899384519
