sheet,company,calendar_quarter,type,period_status,kpi,value,yoy,yoy_vs_last_q,yoy_vs_last_y,qoq
AZO,AZO US EQUITY,2025-03-31,canonical,,revenue,3952.012,0.0240691804310096,27.4266669456691,-214.861758400315,-0.076555253115857
AZO,AZO US EQUITY,2025-06-30,canonical,,revenue,4464.339,0.0540325370057975,299.633565747879,185.985931827188,0.129637005150794
AZO,AZO US EQUITY,2025-09-30,canonical,,revenue,6242.726,0.00601832603321628,-480.142109725812,-844.396874900952,0.398353933247453
AZO,AZO US EQUITY,2025-12-31,canonical,,revenue,4628.63,0.0815463259651921,755.279999319758,602.198122287494,-0.258556278138749
AZO,AZO US EQUITY,2025-03-31,canonical,,gross_margin_gaap,53.8561,-3.31000000000046,,,85.9699999999997
AZO,AZO US EQUITY,2025-06-30,canonical,,gross_margin_gaap,52.7183,-77.0800000000001,,,-113.78
AZO,AZO US EQUITY,2025-09-30,canonical,,gross_margin_gaap,51.5239,-97.6700000000001,,,-119.44
AZO,AZO US EQUITY,2025-12-31,canonical,,gross_margin_gaap,50.9722,-202.42,,,-55.1699999999997
AZO,AZO US EQUITY,2025-03-31,canonical,,operating_margin_gaap,17.8837,-137.56,,,-177.1
AZO,AZO US EQUITY,2025-06-30,canonical,,operating_margin_gaap,19.4021,-185.12,,,151.84
AZO,AZO US EQUITY,2025-09-30,canonical,,operating_margin_gaap,19.1593,-173.68,,,-24.2799999999999
AZO,AZO US EQUITY,2025-12-31,canonical,,operating_margin_gaap,16.9425,-271.22,,,-221.68
AZO,AZO US EQUITY,2025-03-31,custom,,sss_growth,0.019,160,,,160
AZO,AZO US EQUITY,2025-06-30,custom,,sss_growth,0.05,450,,,310
AZO,AZO US EQUITY,2025-09-30,custom,,sss_growth,0.048,460,,,-20
AZO,AZO US EQUITY,2025-12-31,custom,,sss_growth,0.048,450,,,0
CASY,CASY US EQUITY,2025-03-31,canonical,,revenue,3903.633,0.172527301218564,2014.68596366679,1735.19932998084,-0.0109299475444611
CASY,CASY US EQUITY,2025-06-30,canonical,,revenue,3992.758,0.109094823216014,-634.324780025495,275.873522836596,0.0228312958723322
CASY,CASY US EQUITY,2025-09-30,canonical,,revenue,4567.106,0.114543466308355,54.4864309234083,554.917273542268,0.143847435782484
CASY,CASY US EQUITY,2025-12-31,canonical,,revenue,4506.084,0.14171407461948,271.706083111249,1706.55369767595,-0.0133611963462201
CASY,CASY US EQUITY,2025-03-31,canonical,,gross_margin_gaap,23.3774,-24.7299999999999,,,-90.9799999999997
CASY,CASY US EQUITY,2025-06-30,canonical,,gross_margin_gaap,23.1925,102.39,,,-18.4900000000003
CASY,CASY US EQUITY,2025-09-30,canonical,,gross_margin_gaap,24.3578,104.6,,,116.53
CASY,CASY US EQUITY,2025-12-31,canonical,,gross_margin_gaap,24.8927,60.5500000000003,,,53.49
