sheet,company,calendar_quarter,type,kpi,value,yoy,yoy_vs_last_q,yoy_vs_last_y,qoq
AEE,AEE US EQUITY,2025-03-31,canonical,TTM_FFO,2961,0.243595128097438,801.964352869804,3403.32609129304,0.0396769662921348
AEE,AEE US EQUITY,2025-06-30,canonical,TTM_FFO,3158,0.216955684007707,-266.394440897308,1892.32911730479,0.0665315771698751
AEE,AEE US EQUITY,2025-09-30,canonical,TTM_FFO,3328,0.259651778955337,426.960949476298,2272.17234211296,0.0538315389487016
AEE,AEE US EQUITY,2025-12-31,canonical,TTM_FFO,4091,0.436446629213483,1767.94850258146,2730.47936403026,0.229266826923077
AEE,AEE US EQUITY,2025-03-31,canonical,FFO_to_debt,15.0894,123.35,,,-12.26
AEE,AEE US EQUITY,2025-06-30,canonical,FFO_to_debt,15.805,120.17,,,71.56
AEE,AEE US EQUITY,2025-09-30,canonical,FFO_to_debt,16.5539,208.59,,,74.8899999999999
AEE,AEE US EQUITY,2025-12-31,canonical,FFO_to_debt,20.6304,541.84,,,407.65
AEE,AEE US EQUITY,2025-12-31,custom,rate_base_in_billions,28.8,0.0666666666666667,,-308.943089430893,
AEP,AEP US EQUITY,2025-03-31,canonical,TTM_FFO,6252.1,0.00520925446564946,-959.682041133523,-2287.60271762428,-0.00665713377820143
AEP,AEP US EQUITY,2025-06-30,canonical,TTM_FFO,6107,-0.0568194103383836,-620.28664804033,-3580.45294582756,-0.0232082020441132
AEP,AEP US EQUITY,2025-09-30,canonical,TTM_FFO,6361.2,0.00766696236218478,644.863727005683,-2735.99528402987,0.0416243654822335
AEP,AEP US EQUITY,2025-12-31,canonical,TTM_FFO,6603,0.0490943755958055,414.274132336208,-520.830829831962,0.0380116959064327
AEP,AEP US EQUITY,2025-03-31,canonical,FFO_to_debt,13.3221,-75.2799999999999,,,-43.14
AEP,AEP US EQUITY,2025-06-30,canonical,FFO_to_debt,13.0727,-153.01,,,-24.9400000000001
AEP,AEP US EQUITY,2025-09-30,canonical,FFO_to_debt,13.2829,-99.2599999999999,,,21.02
AEP,AEP US EQUITY,2025-12-31,canonical,FFO_to_debt,13.3372,-41.6300000000001,,,5.42999999999996
AEP,AEP US EQUITY,2025-12-31,custom,rate_base_in_billions,80,,,,
ETR,ETR US EQUITY,2025-03-31,canonical,TTM_FFO,4330.636,0.143630215396072,1822.36328596523,4149.95401855059,0.0511084045741017
ETR,ETR US EQUITY,2025-06-30,canonical,TTM_FFO,4424.87,0.126094761685899,-175.354537101737,-3225.7194602651,0.0217598523634865
ETR,ETR US EQUITY,2025-09-30,canonical,TTM_FFO,4944.927,0.278124187429276,1520.29425743377,-434.884085772884,0.117530458521945
ETR,ETR US EQUITY,2025-12-31,canonical,TTM_FFO,4998.011,0.213090033023743,-650.341544055326,2516.96146224193,0.0107350421957697
ETR,ETR US EQUITY,2025-03-31,canonical,FFO_to_debt,14.0037,67.01,,,-10.8000000000001
ETR,ETR US EQUITY,2025-06-30,canonical,FFO_to_debt,14.5529,88.57,,,54.9199999999999
ETR,ETR US EQUITY,2025-09-30,canonical,FFO_to_debt,15.84,250.03,,,128.71
ETR,ETR US EQUITY,2025-12-31,canonical,FFO_to_debt,16.0124,190.07,,,17.24
NI,NI US EQUITY,2025-03-31,canonical,TTM_FFO,2174,0.273057328570592,611.575373388591,1978.82613466392,0.101484521457162
NI,NI US EQUITY,2025-06-30,canonical,TTM_FFO,2202.4,0.25414270257958,-189.14625991012,1453.5371407093,0.0130634774609015
NI,NI US EQUITY,2025-09-30,canonical,TTM_FFO,2321.9,0.331517375845854,773.746732662741,2804.65600787087,0.0542589901925172
NI,NI US EQUITY,2025-12-31,canonical,TTM_FFO,2443.9,0.23823276080458,-932.846150412738,263.329695728474,0.0525431758473665
NI,NI US EQUITY,2025-03-31,canonical,FFO_to_debt,14.6052,143.96,,,49.48
NI,NI US EQUITY,2025-06-30,canonical,FFO_to_debt,13.9782,94.7899999999999,,,-62.7000000000001
NI,NI US EQUITY,2025-09-30,canonical,FFO_to_debt,14.7297,192.13,,,75.15
NI,NI US EQUITY,2025-12-31,canonical,FFO_to_debt,15.0483,93.7899999999999,,,31.86
OGE,OGE US EQUITY,2025-03-31,canonical,TTM_FFO,998.2,0.0752989335344179,-136.706533925,3619.35374017012,0.0402250937890789
OGE,OGE US EQUITY,2025-06-30,canonical,TTM_FFO,977.5,0.00359342915811078,-717.055043763071,2933.70299509576,-0.0207373271889402
OGE,OGE US EQUITY,2025-09-30,canonical,TTM_FFO,1029.5,0.0561140746819861,525.206455238754,-1847.20955867912,0.0531969309462916
OGE,OGE US EQUITY,2025-12-31,canonical,TTM_FFO,1009.8,0.0523134639433096,-38.0061073867655,-366.561229836082,-0.0191355026711997
OGE,OGE US EQUITY,2025-03-31,canonical,FFO_to_debt,16.9517,-126.1,,,-32.1899999999999
OGE,OGE US EQUITY,2025-06-30,canonical,FFO_to_debt,16.563,-194.53,,,-38.87
OGE,OGE US EQUITY,2025-09-30,canonical,FFO_to_debt,17.645,-97.2300000000001,,,108.2
OGE,OGE US EQUITY,2025-12-31,canonical,FFO_to_debt,17.7457,47.2100000000001,,,10.07
